CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
168,Male,43,86.4,30
140,Male,28,77.1,78
254,Male,32,72.4,44
39,Male,30,32.4,40
126,Male,49,80.0,91
196,Male,40,64.9,27
284,Male,44,46.3,52
138,Female,23,60.4,66
113,Female,37,97.5,87
169,Female,45,73.4,27
118,Male,46,78.1,90
278,Male,33,58.3,46
272,Female,34,57.5,62
156,Male,37,84.2,32
177,Male,43,80.7,20
179,Female,55,82.4,21
3,Male,37,33.1,19
116,Female,32,60.2,79
144,Female,42,61.0,61
178,Female,34,72.5,28
121,Female,34,75.6,73
211,Female,26,97.4,13
261,Male,33,60.4,59
128,Female,30,75.6,80
75,Female,43,35.1,28
30,Female,32,40.6,23
84,Male,53,80.4,89
270,Female,40,55.6,44
108,Male,34,69.3,72
224,Female,43,75.5,35
159,Male,37,74.6,11
281,Male,35,53.5,38
247,Female,28,39.5,30
223,Female,45,51.9,21
66,Male,69,20.6,23
199,Male,34,76.2,25
86,Male,29,61.5,90
214,Female,57,74.1,27
160,Male,49,86.4,25
13,Female,41,26.4,23
36,Female,34,18.9,26
29,Male,37,27.1,25
143,Male,41,63.1,78
285,Female,39,57.1,51
255,Male,59,59.4,42
171,Female,39,92.3,18
52,Female,43,30.1,52
96,Male,29,57.7,80
209,Male,39,73.9,31
248,Female,27,43.5,60
42,Male,48,28.9,33
90,Male,39,67.6,81
245,Female,33,64.5,69
137,Female,33,62.6,72
27,Male,47,26.4,22
294,Male,38,50.6,43
142,Male,46,72.0,79
201,Male,43,76.4,19
1,Male,39,23.9,30
269,Female,40,65.8,50
273,Male,48,34.8,45
101,Male,20,58.1,70
260,Male,37,50.4,63
256,Male,39,35.1,44
172,Male,21,52.4,38
99,Female,39,91.3,73
37,Female,42,17.7,37
62,Male,36,15.8,37
151,Female,42,79.4,21
237,Male,38,50.3,62
203,Female,54,48.7,6
243,Male,44,50.5,65
12,Male,44,27.6,12
297,Female,50,59.2,52
268,Male,38,47.8,54
28,Male,41,31.8,13
220,Female,48,71.8,27
5,Female,19,20.5,15
123,Female,21,81.4,88
33,Female,18,24.8,25
205,Male,29,69.4,15
163,Male,36,86.4,34
210,Male,45,75.0,15
286,Female,50,66.4,68
139,Male,38,89.5,86
63,Male,44,25.4,32
136,Female,29,69.0,88
129,Female,23,50.5,75
291,Female,41,54.8,51
9,Male,29,22.7,19
71,Male,39,15.0,46
265,Male,36,51.5,65
65,Male,39,29.1,29
45,Female,37,31.3,13
280,Female,27,31.5,45
157,Female,26,84.0,19
41,Female,25,28.8,16
124,Male,47,33.3,75
276,Female,47,48.9,38
217,Female,29,86.2,26
154,Male,34,79.9,33
24,Male,35,32.0,45
262,Female,54,51.6,71
111,Female,20,84.4,76
82,Female,28,79.1,87
208,Female,40,79.6,33
213,Female,30,97.3,6
40,Female,42,32.1,30
241,Female,47,35.1,54
292,Female,32,46.8,52
259,Female,45,40.5,42
200,Male,43,68.4,10
15,Male,22,18.0,14
48,Male,42,29.5,23
95,Male,51,87.8,60
264,Female,44,53.2,45
228,Female,32,53.7,40
274,Male,41,43.7,50
202,Male,37,89.9,21
162,Female,38,62.6,27
44,Male,39,15.0,26
218,Female,40,90.1,35
146,Male,24,66.6,66
191,Male,64,83.8,19
221,Male,44,88.8,39
252,Female,38,45.8,50
4,Male,30,36.7,38
106,Male,37,75.7,69
54,Male,38,23.9,32
134,Female,25,66.0,94
2,Male,48,17.7,23
132,Female,41,56.7,90
104,Male,33,82.8,83
50,Female,40,25.0,21
81,Male,25,80.5,79
206,Male,57,75.2,34
35,Female,29,21.6,28
92,Male,30,67.5,64
53,Female,26,18.5,24
242,Female,46,39.1,25
14,Female,32,27.1,39
89,Male,26,68.3,85
167,Male,46,95.4,23
295,Female,35,49.1,50
135,Male,52,71.2,73
288,Female,37,58.9,33
244,Female,31,49.8,45
55,Male,59,25.8,12
51,Male,41,35.1,28
175,Male,43,84.3,17
190,Male,40,73.6,21
299,Male,39,59.5,49
188,Male,45,71.4,36
170,Female,60,87.0,9
59,Female,30,31.2,34
49,Male,51,28.8,14
236,Male,36,63.6,48
253,Female,32,61.9,67
22,Female,48,20.1,27
161,Male,36,78.5,17
277,Male,24,28.0,56
192,Female,40,84.8,19
258,Female,56,40.3,42
150,Male,21,58.0,83
131,Female,42,79.0,77
152,Female,39,75.7,4
100,Female,35,56.0,78
88,Male,47,73.9,72
215,Male,50,77.7,21
122,Male,39,67.1,70
300,Female,49,66.9,46
21,Male,38,19.8,28
189,Male,56,72.4,16
72,Male,51,24.1,20
107,Female,34,86.8,82
271,Male,39,54.1,49
103,Female,31,74.9,71
