CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
139,Male,38,89.5,86,1
63,Male,44,25.4,32,0
136,Female,29,69.0,88,1
129,Female,23,50.5,75,1
291,Female,41,54.8,51,1
9,Male,29,22.7,19,0
71,Male,39,15.0,46,0
265,Male,36,51.5,65,1
65,Male,39,29.1,29,0
45,Female,37,31.3,13,0
280,Female,27,31.5,45,0
157,Female,26,84.0,19,2
41,Female,25,28.8,16,0
124,Male,47,33.3,75,1
276,Female,47,48.9,38,2
217,Female,29,86.2,26,2
154,Male,34,79.9,33,2
24,Male,35,32.0,45,0
262,Female,54,51.6,71,1
111,Female,20,84.4,76,1
82,Female,28,79.1,87,1
208,Female,40,79.6,33,2
213,Female,30,97.3,6,2
40,Female,42,32.1,30,0
241,Female,47,35.1,54,0
292,Female,32,46.8,52,1
259,Female,45,40.5,42,0
200,Male,43,68.4,10,2
15,Male,22,18.0,14,0
48,Male,42,29.5,23,0
95,Male,51,87.8,60,2
264,Female,44,53.2,45,2
228,Female,32,53.7,40,0
274,Male,41,43.7,50,0
202,Male,37,89.9,21,2
162,Female,38,62.6,27,2
44,Male,39,15.0,26,0
218,Female,40,90.1,35,2
146,Male,24,66.6,66,1
191,Male,64,83.8,19,2
221,Male,44,88.8,39,2
252,Female,38,45.8,50,0
4,Male,30,36.7,38,0
106,Male,37,75.7,69,1
54,Male,38,23.9,32,0
134,Female,25,66.0,94,1
2,Male,48,17.7,23,0
132,Female,41,56.7,90,1
104,Male,33,82.8,83,1
50,Female,40,25.0,21,0
81,Male,25,80.5,79,1
206,Male,57,75.2,34,2
35,Female,29,21.6,28,0
92,Male,30,67.5,64,1
53,Female,26,18.5,24,0
242,Female,46,39.1,25,0
14,Female,32,27.1,39,0
89,Male,26,68.3,85,1
167,Male,46,95.4,23,2
295,Female,35,49.1,50,1
135,Male,52,71.2,73,1
288,Female,37,58.9,33,2
244,Female,31,49.8,45,0
55,Male,59,25.8,12,0
51,Male,41,35.1,28,0
175,Male,43,84.3,17,2
190,Male,40,73.6,21,2
299,Male,39,59.5,49,1
188,Male,45,71.4,36,2
170,Female,60,87.0,9,2
59,Female,30,31.2,34,0
49,Male,51,28.8,14,0
236,Male,36,63.6,48,1
253,Female,32,61.9,67,1
22,Female,48,20.1,27,0
161,Male,36,78.5,17,2
277,Male,24,28.0,56,0
192,Female,40,84.8,19,2
258,Female,56,40.3,42,0
150,Male,21,58.0,83,1
131,Female,42,79.0,77,1
152,Female,39,75.7,4,2
100,Female,35,56.0,78,1
88,Male,47,73.9,72,1
215,Male,50,77.7,21,2
122,Male,39,67.1,70,1
300,Female,49,66.9,46,2
21,Male,38,19.8,28,0
189,Male,56,72.4,16,2
72,Male,51,24.1,20,0
107,Female,34,86.8,82,1
271,Male,39,54.1,49,1
103,Female,31,74.9,71,1
